[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 6510 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 1718 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 4604 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 725 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 8156 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 3935 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 6046 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 4161 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 3098 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 1650 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 3214 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 122 from 1001
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 8115 from 1001
[2017-11-28 13:00:41]: Peer 1002 received the 'have' message from 1003
[2017-11-28 13:00:41]: Peer 1002 has downloaded the piece 4848 from 1001
